lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-5cm [-],pH_H2O_5-15cm [-],pH_H2O_15-30cm [-],pH_H2O_30-60cm [-],pH_H2O_0-30cm [-],pH_H2O_2017_0-5cm [-],pH_H2O_2017_5-15cm [-],pH_H2O_2017_15-30cm [-],pH_H2O_2017_30-60cm [-],pH_H2O_2017_0-30cm [-],pH_KCl_2017_0-5cm [-],pH_KCl_2017_5-15cm [-],pH_KCl_2017_15-30cm [-],pH_KCl_2017_30-60cm [-],pH_KCl_2017_0-30cm [-],SOC_0-5cm [wt%],SOC_5-15cm [wt%],SOC_15-30cm [wt%],SOC_30-60cm [wt%],SOC_0-30cm [wt%],CEC_0-5cm [cmol/kg],CEC_5-15cm [cmol/kg],CEC_15-30cm [cmol/kg],CEC_30-60cm [cmol/kg],CEC_SG_0-30cm [cmol/kg],CEC_2017_0-5cm [cmol/kg],CEC_2017_5-15cm [cmol/kg],CEC_2017_15-30cm [cmol/kg],CEC_2017_30-60cm [cmol/kg],CEC_SG_2017_0-30cm [cmol/kg],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],BS_20-40cm [%],BS_40-60cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],CEC_30-100cm [cmol/kg],cropland [%]
26.5,-98.5,22.960739135742188,0.22154022753238678,7.5,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.583333333333334,7.7,7.6000000000000005,7.6000000000000005,7.7,7.616666666666667,6.4,6.300000000000001,6.300000000000001,6.300000000000001,6.316666666666667,1.49,1.04,0.64,0.4,0.915,12.700000000000001,11.9,11.4,11.700000000000001,11.783333333333335,1.6,1.7000000000000002,1.6,1.7000000000000002,1.6333333333333333,375.36125796389786,0.43700000643730164,92.21138888888889,92.86527777777778,93.35791666666667,0.18445654213428497,0.05797255782762778,2.1745254345344294,1.5503748441131486,1.5503748441131486,27.0
26.5,-97.5,22.449081420898438,0.20268701016902924,6.800000000000001,6.800000000000001,6.9,7.1000000000000005,6.85,7.4,7.4,7.4,7.4,7.4,6.0,6.1000000000000005,6.0,6.1000000000000005,6.033333333333333,1.46,0.85,0.54,0.38,0.7966666666666666,9.9,8.200000000000001,8.6,9.600000000000001,8.683333333333334,2.3000000000000003,2.1,2.1,2.1,2.1333333333333333,255.70380553802084,0.43700000643730164,90.66026622688184,91.1799976440099,92.1696312875486,0.14707893133163452,0.09697046373073158,2.1745254345344294,2.167016000044624,2.167016000044624,22.0
27.5,-99.5,22.78376007080078,0.22388461232185364,8.0,8.1,8.1,8.0,8.083333333333332,7.9,7.9,7.9,8.0,7.9,6.5,6.4,6.4,6.4,6.416666666666667,1.58,1.04,0.78,0.5,1.0,20.5,19.6,19.200000000000003,18.8,19.55,2.0,2.0,2.0,2.1,2.0,305.2106339406201,0.44999998807907104,99.16583333333334,99.53847222222223,98.65458333333333,0.20039211213588715,0.050128916227182255,2.1745254345344294,11.386937746893697,13.25193775643044,20.0
27.5,-98.5,21.915925979614258,0.22309893369674683,7.7,7.800000000000001,7.800000000000001,7.9,7.783333333333333,7.6000000000000005,7.6000000000000005,7.7,7.6000000000000005,7.65,6.300000000000001,6.300000000000001,6.2,6.2,6.25,1.9100000000000001,1.12,0.75,0.5,1.0666666666666667,27.900000000000002,28.3,28.3,28.6,28.233333333333334,1.5,1.5,1.5,1.6,1.5,398.1715343328369,0.44699999690055847,86.03083333333333,86.80979166666667,87.69868055555555,0.14801570773124695,0.08138506015563049,2.1745254345344294,7.285296375085036,10.060284980466248,22.0
27.5,-97.5,22.108497619628906,0.22023801505565643,7.1000000000000005,7.300000000000001,7.4,7.7,7.316666666666666,7.4,7.4,7.5,7.6000000000000005,7.45,6.5,6.5,6.6000000000000005,6.6000000000000005,6.550000000000001,1.79,1.24,0.98,0.66,1.2016666666666667,16.2,15.9,17.5,20.0,16.75,2.9000000000000004,3.1,3.0,3.0,3.0166666666666666,247.61438067650025,0.44999998807907104,88.97655726724716,87.93123465059165,93.42956016968073,0.15090037882328033,0.12483960977205301,2.1745254345344294,0.0,0.0,21.0
27.5,-82.5,22.72563934326172,0.17958715558052063,6.0,6.2,6.2,6.4,6.166666666666666,5.6000000000000005,5.5,5.6000000000000005,5.7,5.566666666666666,4.800000000000001,4.6000000000000005,4.7,4.9,4.683333333333334,0.0,0.0,0.0,0.0,1.4000000000000001,16.2,12.200000000000001,12.200000000000001,13.3,12.866666666666667,2.7,2.4000000000000004,2.1,2.1,2.3,330.673791807401,0.4189999997615814,42.09104151493081,42.10924981791697,40.11531925224569,0.010515376925468445,0.31611293091830983,0.8401575542519385,0.0,0.0,27.0
27.5,-81.5,22.448381423950195,0.19564571976661682,6.6000000000000005,6.800000000000001,6.800000000000001,7.0,6.7666666666666675,5.2,5.1000000000000005,5.1000000000000005,5.2,5.116666666666667,4.5,4.2,4.4,4.5,4.35,0.0,0.0,0.0,0.0,1.7600000000000002,18.5,14.9,15.8,17.400000000000002,15.950000000000001,1.8,0.8,0.7000000000000001,0.7000000000000001,0.9166666666666667,676.1427761327456,0.4189999997615814,46.46285226302306,47.36144321093083,46.05009962994591,0.02627464011311531,0.33398884268897316,0.8401575542519385,0.0,0.0,54.0
27.5,-80.5,22.78833770751953,0.1891552209854126,6.7,6.800000000000001,6.9,7.2,6.833333333333334,5.7,5.5,5.6000000000000005,5.7,5.583333333333334,5.1000000000000005,4.9,5.0,5.0,4.983333333333333,0.0,0.0,0.0,0.0,2.9766666666666666,20.0,16.5,17.5,19.3,17.583333333333336,1.7000000000000002,1.3,1.0,1.0,1.2166666666666668,447.24902510372124,0.4189999997615814,50.640931501101434,51.161963705024654,50.566033777404805,0.13498473167419434,0.27676481630434335,0.8401575542519385,0.0,0.0,35.0
28.5,-99.5,21.748838424682617,0.23211725056171417,7.5,7.6000000000000005,7.7,7.800000000000001,7.633333333333333,7.9,7.9,7.9,8.0,7.9,6.5,6.5,6.5,6.5,6.5,1.9100000000000001,1.33,0.76,0.47000000000000003,1.1416666666666666,17.7,17.5,16.900000000000002,16.400000000000002,17.233333333333334,1.4000000000000001,1.5,1.4000000000000001,1.5,1.4333333333333336,337.2164152405853,0.44999998807907104,87.50277777777778,88.63888888888889,88.20694444444445,0.15548738837242126,0.09930635681690896,2.1745254345344294,18.12477415199976,20.914754755501995,20.0
28.5,-98.5,21.550569534301758,0.23614583909511566,7.300000000000001,7.5,7.6000000000000005,7.7,7.5166666666666675,7.1000000000000005,7.1000000000000005,7.2,7.300000000000001,7.15,6.300000000000001,6.300000000000001,6.2,6.2,6.25,1.46,1.04,0.85,0.5,1.0150000000000001,24.0,24.700000000000003,24.6,24.5,24.53333333333333,2.0,2.0,2.0,2.1,2.0,416.64237614949747,0.44999998807907104,90.490625,91.038125,91.64041666666667,0.1348966807126999,0.13560701283085935,2.1745254345344294,18.650651828192743,20.105806380594235,17.0
