lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-30cm [-],SOC_0-30cm [wt%],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],cropland [%],OC_input_gC_per_m2_per_yr,log_tau_OC_yr,log_KH_per_Na,log_Ca_M
26.5,-98.5,22.960739135742200,0.2215402275323870,7.583333333333330,0.915,375.36125796389800,0.4370000064373020,92.21138888888890,0.1844565421342850,0.0579725578276277,2.1745254345344300,1.5503748441131500,27.0,1865.738174,0.09820973225380560,6.511224405,-1.8375402411851300
26.5,-97.5,22.44908142089840,0.2026870101690290,6.85,0.7966666666666670,255.70380553802100,0.4370000064373020,90.66026622688180,0.1470789313316350,0.0969704637307315,2.1745254345344300,2.167016000044620,22.0,9846.862648,-0.5141972610503690,6.771276025,-1.4885428285526300
27.5,-99.5,22.78376007080080,0.2238846123218540,8.083333333333330,1.0,305.2106339406200,0.449999988079071,99.16583333333330,0.2003921121358870,0.0501289162271822,2.1745254345344300,11.386937746893700,20.0,,,,
27.5,-98.5,21.915925979614300,0.2230989336967470,7.783333333333330,1.0666666666666700,398.1715343328370,0.4469999969005580,86.03083333333330,0.1480157077312470,0.0813850601556304,2.1745254345344300,7.285296375085040,22.0,1153.272543,0.34579788946000800,6.181071264,-2.1822629780412100
27.5,-97.5,22.108497619628900,0.2202380150556560,7.316666666666670,1.2016666666666700,247.61438067650000,0.449999988079071,88.97655726724720,0.1509003788232800,0.124839609772053,2.1745254345344300,0.0,21.0,7793.734314,-0.4096345319004420,7.141536749,-1.21156963197755
27.5,-82.5,22.72563934326170,0.1795871555805210,6.166666666666670,1.4,330.673791807401,0.4189999997615810,42.09104151493080,0.0105153769254684,0.3161129309183100,0.8401575542519390,0.0,27.0,10986.35594,-0.17901633427941400,5.471115312,-3.25723849283335
27.5,-81.5,22.448381423950200,0.1956457197666170,6.766666666666670,1.7600000000000000,676.1427761327460,0.4189999997615810,46.46285226302310,0.0262746401131153,0.3339888426889730,0.8401575542519390,0.0,54.0,2373.411584,0.6238161499368960,5.802987208,-3.371463680598500
27.5,-80.5,22.78833770751950,0.1891552209854130,6.833333333333330,2.9766666666666700,447.2490251037210,0.4189999997615810,50.64093150110140,0.1349847316741940,0.2767648163043430,0.8401575542519390,0.0,35.0,6904.804278,0.20282794909001800,5.758548039,-2.8550010808032700
28.5,-99.5,21.748838424682600,0.2321172505617140,7.633333333333330,1.1416666666666700,337.2164152405850,0.449999988079071,87.50277777777780,0.1554873883724210,0.0993063568169089,2.1745254345344300,18.12477415199980,20.0,,,,
28.5,-98.5,21.55056953430180,0.2361458390951160,7.5166666666666700,1.015,416.6423761494980,0.449999988079071,90.490625,0.1348966807127000,0.1356070128308590,2.1745254345344300,18.650651828192700,17.0,1055.119355,0.42735989981070800,6.165204523,-2.163811917511080
28.5,-97.5,21.36896705627440,0.2459588050842290,7.533333333333330,1.26,495.6279158815660,0.4469999969005580,86.15093803297330,0.1341728717088700,0.1776620781394860,2.1745254345344300,6.159089472499380,38.0,1079.153308,0.5223621806157010,6.420316521,-2.020068766900680
28.5,-96.5,21.553564071655300,0.262919545173645,6.833333333333330,1.7283333333333300,282.7773946567330,0.449999988079071,91.46300871148100,0.1341728717088700,0.2767169812583350,2.1745254345344300,28.754515398686100,28.0,,,,
28.5,-82.5,21.68406867980960,0.1790340840816500,5.15,2.2883333333333300,487.865532533633,0.4189999997615810,55.22999401317100,0.0427741259336471,0.3345956324746360,0.8401575542519390,0.0,27.0,,,,
28.5,-81.5,22.15903663635250,0.1828543841838840,5.35,3.653333333333330,661.481312628875,0.4189999997615810,49.10823104693140,0.0195690430700778,0.3887921026341120,0.8401575542519390,0.0,37.0,,,,
29.5,-103.5,18.956859588623000,0.1827997267246250,8.0,0.985,158.31538661242400,0.4469999969005580,92.08402777777780,0.0659980326890945,0.0226426752437062,2.1745254345344300,14.924993064031300,0.0,,,,
29.5,-100.5,20.000652313232400,0.2103829979896550,7.283333333333330,2.4250000000000000,307.414409986738,0.449999988079071,96.21222222222220,0.1621325612068180,0.0895014334086306,2.1745254345344300,21.300265230700100,15.0,,,,
